1571829281,3,23,1,"CQ,CA,C2,CK;DK,DA,DJ,D9;D10,DQ,D7,D4;D3,D8,D6,HQ;D2,D5,H10,H8;C10,C8,C6,CJ;SQ,C7,C4,C9;HA,SK,S8,SA;HK,S4,S7,SJ;HJ,S2,S5,S10;H5,H9,H7,S9;H3,H6,H4,S6;H2,C5,C3,S3"
1571829281,3,18,1,"CJ,C2,CA,C10;D5,DQ,DK,DA;D4,D6,D9,DJ;SQ,D3,D2,D10;HQ,HA,HK,D8;H10,SK,HJ,D7;SA,S10,SJ,S7;C9,CQ,CK,H9;C7,C8,C4,H8;C3,C6,H4,H7;H6,C5,H3,H5;S8,S9,S4,S5;S6,S3,H2,S2"
1571829281,3,23,1,"CQ,CA,C2,CK;D8,DJ,DK,DA;D4,D6,D9,DQ;D3,H9,D7,D10;SQ,H8,D2,D5;C8,CJ,C9,C4;C7,C10,C5,HK;C6,C3,HA,HQ;S9,SJ,SK,SA;S7,S8,S6,S10;H10,S3,S2,S5;H6,H5,H7,S4;H2,H3,H4,HJ"
1571829281,3,26,1,"C7,C2,CK,CQ;DA,DJ,DQ,D9;DK,H8,D8,D7;D10,H2,D3,D6;D5,CA,D2,SQ;D4,C10,HK,HQ;SA,S9,SK,S7;SJ,S6,S10,S2;HA,C6,H7,H6;HJ,S5,H3,H4;H10,C4,C9,CJ;H9,S4,S8,C8;H5,S3,C5,C3"
1571829281,3,0,1,"CK,C7,C2,CA;DA,DQ,D8,DJ;DK,D2,D5,D7;D10,HA,SQ,HK;D9,HQ,H4,HJ;D6,H8,H2,H10;D4,H7,CQ,CJ;D3,H6,SJ,C9;C10,H5,C6,C4;C8,H3,C5,C3;S9,SA,S10,S8;S2,SK,S7,S6;H9,S5,S4,S3"
1571829281,3,22,1,"CJ,CA,C9,C2;DA,DQ,D10,DJ;DK,D9,HA,D7;D8,D6,HJ,D5;D3,D2,H5,D4;C7,C10,C8,CK;SQ,C3,C6,CQ;HK,H10,H4,C5;H8,H9,SA,C4;S9,S10,SK,SJ;S3,S6,S7,S8;H2,H7,S5,HQ;S2,H6,S4,H3"
1571829281,3,9,1,"CA,C9,C2,CQ;DA,DK,DJ,DQ;D9,D3,D4,D10;D6,HA,H10,D8;H9,HQ,H3,D7;H8,HJ,SK,D5;H5,H6,CJ,D2;S6,S8,SJ,S5;CK,C6,C8,SQ;C10,C4,C5,HK;C7,H4,S10,H7;C3,SA,S9,H2;S3,S2,S7,S4"
1571829281,3,18,1,"CA,C3,CQ,C2;DA,DK,DJ,HK;DQ,D7,D9,HQ;D10,D6,D5,H10;D8,D4,D3,H7;C10,SQ,HA,CK;C8,H9,HJ,CJ;C7,H4,H8,C9;C6,SK,S10,C4;C5,S9,S8,H6;SA,S7,S6,SJ;H5,S5,S4,H2;H3,S2,D2,S3"
1571829281,3,0,1,"C9,C2,CQ,CA;DA,D6,DQ,D10;DK,D3,D4,D8;DJ,HK,H8,D5;D9,H9,H7,HA;D7,SA,H4,HQ;D2,CK,SJ,HJ;C7,C6,C10,CJ;S9,S7,S10,S8;SQ,C5,C8,H6;H10,C3,C4,H3;S6,S5,S4,SK;H5,S3,S2,H2"
1571829281,3,0,1,"CA,C10,C2,C8;DA,D8,DK,DJ;DQ,D6,D9,D7;D10,D5,D4,SQ;D2,H5,D3,HK;C9,C7,CK,C5;HJ,C6,CQ,C4;H10,C3,CJ,HQ;S10,S6,SA,SJ;S7,S5,SK,S8;S3,S4,S9,H9;H7,H4,HA,H8;H6,S2,H2,H3"
